representative,ticker,transaction_date,transaction_type,range,price_change
Jefferson Shreve,PG,2025-02-24,Sale,"$50,001 - $100,000",-2.25753488917556
Jefferson Shreve,CMCSA,2025-02-24,Sale,"$15,001 - $50,000",1.23966942148761
Julie Johnson,PNC,2025-02-24,Sale,"$1,001 - $15,000",-7.1405648267009
Jefferson Shreve,PWR,2025-02-24,Sale,"$50,001 - $100,000",3.41610117211598
Jefferson Shreve,UNH,2025-02-24,Sale,"$15,001 - $50,000",11.9886462125152
Jefferson Shreve,ELV,2025-02-24,Purchase,"$15,001 - $50,000",10.8835591548565
Jefferson Shreve,PHM,2025-02-24,Purchase,"$15,001 - $50,000",1.00294985250737
Jefferson Shreve,EXPO,2025-02-24,Purchase,"$15,001 - $50,000",-6.93559801840056
Jefferson Shreve,BUSE,2025-02-24,Purchase,"$15,001 - $50,000",-8.125
Jefferson Shreve,BC,2025-02-24,Purchase,"$15,001 - $50,000",-8.9842494374799
Jefferson Shreve,ACGL,2025-02-24,Purchase,"$15,001 - $50,000",2.71356783919599
Jefferson Shreve,ABBV,2025-02-24,Purchase,"$50,001 - $100,000",2.90572324578596
Jefferson Shreve,LOW,2025-02-24,Purchase,"$15,001 - $50,000",-4.22220347562005
Jefferson Shreve,AVB,2025-02-24,Sale,"$15,001 - $50,000",-5.16359686835317
Jefferson Shreve,XOM,2025-02-24,Purchase,"$50,001 - $100,000",3.80156376381774
Jefferson Shreve,ALB,2025-02-24,Sale,"$15,001 - $50,000",-4.28236455633716
Jefferson Shreve,FIS,2025-02-24,Purchase,"$15,001 - $50,000",5.73735043967131
Josh Gottheimer,MSFT,2025-02-24,Sale,"$1,001 - $15,000",-3.15346534653466
Jefferson Shreve,SHW,2025-02-24,Purchase,"$15,001 - $50,000",-2.75103963707214
Jefferson Shreve,BA,2025-02-24,Sale,"$15,001 - $50,000",-1.00050025012505
Jefferson Shreve,PFE,2025-02-24,Purchase,"$15,001 - $50,000",-1.38836772983113
Jefferson Shreve,VRTX,2025-02-24,Purchase,"$15,001 - $50,000",4.47420325962836
Jefferson Shreve,CSGP,2025-02-24,Purchase,"$15,001 - $50,000",1.25177442250613
Jefferson Shreve,NVT,2025-02-24,Purchase,"$15,001 - $50,000",-5.55463713010415
Jefferson Shreve,HD,2025-02-24,Purchase,"$15,001 - $50,000",-8.17687359447729
Jefferson Shreve,DVN,2025-02-24,Purchase,"$15,001 - $50,000",-3.10908603591531
Jefferson Shreve,XYZ,2025-02-24,Sale,"$15,001 - $50,000",-7.29672330097088
Jefferson Shreve,PRI,2025-02-24,Sale,"$15,001 - $50,000",3.37911488990624
Jefferson Shreve,EPAM,2025-02-24,Sale,"$15,001 - $50,000",-15.4691869997107
Jefferson Shreve,MRP,2025-02-24,Exchange,"$1,001 - $15,000",9.3143596377749
Jefferson Shreve,TTD,2025-02-24,Sale,"$1,001 - $15,000",-24.1105121293801
Jefferson Shreve,HAL,2025-02-24,Sale,"$15,001 - $50,000",-7.4794315632012
Julie Johnson,COF,2025-02-24,Purchase,"$1,001 - $15,000",-12.5550220088035
Jefferson Shreve,MRK,2025-02-24,Purchase,"$15,001 - $50,000",2.01599649391915
Jefferson Shreve,LEN,2025-02-24,Sale,"$15,001 - $50,000",-3.83106585426926
Susie Lee,FLL,2025-02-24,Sale,"$15,001 - $50,000",-15.0793650793651
Jefferson Shreve,ITT,2025-02-24,Sale,"$50,001 - $100,000",-4.03609749165066
April Mcclain Delaney,CPAY,2025-02-22,Purchase,"$1,001 - $15,000",-4.02513633972816
April Mcclain Delaney,TDY,2025-02-22,Sale,"$15,001 - $50,000",1.16726810878375
April Mcclain Delaney,CACI,2025-02-22,Sale,"$1,001 - $15,000",11.9051257755907
April Mcclain Delaney,TPX,2025-02-22,Sale,"$1,001 - $15,000",
Josh Gottheimer,NTDOY,2025-02-21,Sale,"$1,001 - $15,000",-4.96602195504443
April Mcclain Delaney,PAYX,2025-02-21,Purchase,"$1,001 - $15,000",-3.6967207595448
Susie Lee,FLL,2025-02-21,Sale,"$15,001 - $50,000",-19.6998123827392
Josh Gottheimer,CSCO,2025-02-21,Sale,"$1,001 - $15,000",-5.75179743669897
Josh Gottheimer,SPOT,2025-02-21,Sale,"$1,001 - $15,000",-1.224933320162
Josh Gottheimer,PAYX,2025-02-21,Sale,"$1,001 - $15,000",-3.6967207595448
April Mcclain Delaney,TPX,2025-02-21,Sale,"$1,001 - $15,000",
Josh Gottheimer,IFNNY,2025-02-21,Sale,"$1,001 - $15,000",-10.7577639751553
Josh Gottheimer,FI,2025-02-21,Purchase,"$1,001 - $15,000",-6.13325299130584
Josh Gottheimer,SCHW,2025-02-21,Sale,"$1,001 - $15,000",-2.54848334162108
Josh Gottheimer,MSFT,2025-02-21,Sale,"$1,001 - $15,000",-4.15227456456235
Josh Gottheimer,BRK.B,2025-02-21,Sale,"$1,001 - $15,000",9.0174207294147
Rob Bresnahan,BABA,2025-02-21,Purchase,"$1,001 - $15,000",-5.98956521739131
Tim Moore,ROK,2025-02-21,Sale,"$15,001 - $50,000",-12.3399498678951
Josh Gottheimer,AAPL,2025-02-21,Sale,"$1,001 - $15,000",-11.1097536143352
Josh Gottheimer,SNOW,2025-02-21,Purchase,"$1,001 - $15,000",-10.961830344595
Josh Gottheimer,DASTY,2025-02-21,Sale,"$1,001 - $15,000",1.81950509461427
Greg Landsman,AMZN,2025-02-20,Purchase,"$15,001 - $50,000",-11.96608040201
Tim Moore,GD,2025-02-20,Sale,"$1,001 - $15,000",6.99025182778231
Gilbert Cisneros,ICFI,2025-02-20,Sale,"$1,001 - $15,000",-16.3781094527363
Rob Bresnahan,HOOD,2025-02-20,Sale,"$1,001 - $15,000",-20.8704958972529
Rob Bresnahan,META,2025-02-20,Sale,"$1,001 - $15,000",-14.1888780150826
Rob Bresnahan,INTC,2025-02-20,Purchase,"$1,001 - $15,000",-7.01418167880413
Greg Landsman,ARINA,2025-02-20,Sale,"$15,001 - $50,000",
Virginia Foxx,ET,2025-02-19,Purchase,"$1,001 - $15,000",-7.55467196819085
Josh Gottheimer,LLY,2025-02-19,Sale,"$1,001 - $15,000",-3.40003460008072
Josh Gottheimer,ICFI,2025-02-19,Sale,"$1,001 - $15,000",-17.4459724950884
April Mcclain Delaney,CACI,2025-02-18,Sale,"$1,001 - $15,000",7.95541664209472
Scott Scott Franklin,LMT,2025-02-18,Purchase,"$1,001 - $15,000",2.60419097400475
Scott Scott Franklin,LMT,2025-02-18,Purchase,"$15,001 - $50,000",2.60419097400475
Scott Scott Franklin,LMT,2025-02-18,Purchase,"$1,001 - $15,000",2.60419097400475
Greg Landsman,BLK,2025-02-18,Sale,"$1,001 - $15,000",-2.67216165913321
April Mcclain Delaney,AOS,2025-02-18,Sale,"$15,001 - $50,000",1.18685331710286
Rob Bresnahan,ALAB,2025-02-18,Sale,"$1,001 - $15,000",-23.7697008684464
Greg Landsman,CRWD,2025-02-18,Purchase,"$1,001 - $15,000",-20.449754040759
James E. Banks,YUM,2025-02-18,Sale (Full),"$1,001 - $15,000",6.53843539726773
Lloyd Doggett,PG,2025-02-18,Purchase,"$1,001 - $15,000",0.761651453787095
Mark Dr Green,NGL,2025-02-18,Sale,"$100,001 - $250,000",-5.85858585858586
Jake Auchincloss,STT,2025-02-18,Sale,"$15,001 - $50,000",-9.84667463162087
April Mcclain Delaney,TPX,2025-02-17,Sale,"$1,001 - $15,000",
April Mcclain Delaney,ENTG,2025-02-17,Purchase,"$1,001 - $15,000",-10.3303862261517
April Mcclain Delaney,VIK,2025-02-17,Purchase,"$1,001 - $15,000",-22.6615236258438
April Mcclain Delaney,FBIN,2025-02-17,Purchase,"$1,001 - $15,000",-8.69056327724945
April Mcclain Delaney,LH,2025-02-17,Purchase,"$1,001 - $15,000",-4.90478703966868
April Mcclain Delaney,TPX,2025-02-16,Sale,"$1,001 - $15,000",
April Mcclain Delaney,TPX,2025-02-15,Sale,"$1,001 - $15,000",
April Mcclain Delaney,LYV,2025-02-14,Sale,"$1,001 - $15,000",-19.9661810613944
Josh Gottheimer,MSFT,2025-02-14,Sale,"$500,001 - $1,000,000",-4.20390274955317
Rob Bresnahan,ORCL,2025-02-14,Sale,"$1,001 - $15,000",-12.5918695452458
Josh Gottheimer,MSFT,2025-02-14,Sale,"$250,001 - $500,000",-4.20390274955317
Rob Bresnahan,RDDT,2025-02-14,Purchase,"$1,001 - $15,000",-41.0836134025868
Julie Johnson,COF,2025-02-14,Purchase,"$1,001 - $15,000",-13.5239414325287
Josh Gottheimer,MSFT,2025-02-14,Sale,"$1,000,001 - $5,000,000",-4.20390274955317
Josh Gottheimer,MSFT,2025-02-14,Purchase,"$1,000,001 - $5,000,000",-4.20390274955317
Josh Gottheimer,MSFT,2025-02-14,Sale,"$1,000,001 - $5,000,000",-4.20390274955317
Josh Gottheimer,MSFT,2025-02-14,Purchase,"$1,000,001 - $5,000,000",-4.20390274955317
Josh Gottheimer,MSFT,2025-02-14,Purchase,"$500,001 - $1,000,000",-4.20390274955317
Rob Bresnahan,INTC,2025-02-14,Purchase,"$1,001 - $15,000",2.79661016949153
John Boozman,MSFT,2025-02-14,Purchase,"$1,001 - $15,000",-4.20390274955317
Josh Gottheimer,TSLA,2025-02-14,Sale,"$1,001 - $15,000",-30.1062275179856
Josh Gottheimer,MSFT,2025-02-14,Purchase,"$1,000,001 - $5,000,000",-4.20390274955317
Julie Johnson,RTX,2025-02-14,Purchase,"$1,001 - $15,000",8.13659014786374
Julie Johnson,BK,2025-02-14,Purchase,"$1,001 - $15,000",-4.88387978142077
Julie Johnson,PGR,2025-02-14,Purchase,"$1,001 - $15,000",3.9070830159939
Julie Johnson,CB,2025-02-14,Sale,"$1,001 - $15,000",10.1731438076516
John Boozman,IVW,2025-02-14,Sale (Partial),"$1,001 - $15,000",-10.9912782518991
Virginia Foxx,ARLP,2025-02-14,Purchase,"$1,001 - $15,000",-1.90582959641256
Markwayne Mullin,LPLA,2025-02-13,Purchase,"$50,001 - $100,000",-11.9353279260891
John Boozman,DIS,2025-02-13,Sale (Full),"$1,001 - $15,000",-9.24354411898897
Markwayne Mullin,IQV,2025-02-13,Purchase,"$15,001 - $50,000",-5.18235144095895
Markwayne Mullin,LHX,2025-02-13,Purchase,"$15,001 - $50,000",3.98999999999999
Markwayne Mullin,HON,2025-02-13,Sale (Full),"$15,001 - $50,000",2.36274175476202
Josh Gottheimer,ABT,2025-02-13,Purchase,"$1,001 - $15,000",-4.13536687153804
Rob Bresnahan,ANET,2025-02-13,Sale,"$1,001 - $15,000",-24.255125284738
Markwayne Mullin,BRK,2025-02-13,Sale (Partial),"$15,001 - $50,000",
Rob Bresnahan,SNOW,2025-02-13,Purchase,"$1,001 - $15,000",-17.787812727084
Markwayne Mullin,STZ,2025-02-13,Sale (Partial),"$15,001 - $50,000",8.71323529411765
Markwayne Mullin,AMZN,2025-02-13,Purchase,"$15,001 - $50,000",-14.8283196596779
Jared Moskowitz,WST,2025-02-13,Sale,"$1,001 - $15,000",14.851087338657
Markwayne Mullin,PM,2025-02-13,Purchase,"$15,001 - $50,000",1.54176163024533
Markwayne Mullin,ACN,2025-02-13,Purchase,"$50,001 - $100,000",-21.6183605884014
John Boozman,BSX,2025-02-13,Purchase,"$1,001 - $15,000",-5.13472771810816
Markwayne Mullin,DHR,2025-02-13,Sale (Full),"$15,001 - $50,000",3.81649393388674
Susie Lee,FLL,2025-02-13,Sale,"$15,001 - $50,000",-21.0332103321033
Tim Moore,F,2025-02-13,Purchase,"$15,001 - $50,000",6.95187165775401
Markwayne Mullin,MSFT,2025-02-13,Purchase,"$50,001 - $100,000",-4.69625371461978
John Boozman,PFE,2025-02-13,Sale (Full),"$1,001 - $15,000",2.49609984399376
Markwayne Mullin,TJX,2025-02-13,Purchase,"$15,001 - $50,000",-7.73142630115216
Josh Gottheimer,DHI,2025-02-13,Sale,"$1,001 - $15,000",-0.386578011442709
Markwayne Mullin,VAW,2025-02-13,Sale (Full),"$100,001 - $250,000",-5.54134850526527
Markwayne Mullin,AMD,2025-02-13,Sale (Full),"$50,001 - $100,000",-4.80279044808157
John Boozman,GOOGL,2025-02-13,Purchase,"$1,001 - $15,000",-11.8996454281723
Josh Gottheimer,TSLA,2025-02-13,Sale,"$1,001 - $15,000",-30.1258639096477
Josh Gottheimer,V,2025-02-13,Purchase,"$1,001 - $15,000",-5.61538677839327
Josh Gottheimer,PYPL,2025-02-13,Sale,"$1,001 - $15,000",-8.35618226922576
Marjorie Taylor Greene,PLTR,2025-02-12,Purchase,"$1,001 - $15,000",-22.5146946077179
Marjorie Taylor Greene,MSFT,2025-02-12,Purchase,"$1,001 - $15,000",-4.3467631527479
Tim Moore,HOG,2025-02-12,Purchase,"$50,001 - $100,000",-5.36193029490616
Marjorie Taylor Greene,NSC,2025-02-12,Purchase,"$1,001 - $15,000",-8.7275018707416
Julie Johnson,EL,2025-02-12,Sale,"$1,001 - $15,000",-3.01318267419962
Julie Johnson,FCX,2025-02-12,Purchase,"$1,001 - $15,000",6.03266596417281
Julie Johnson,TSLA,2025-02-12,Sale,"$15,001 - $50,000",-26.0913494398383
Julie Johnson,HII,2025-02-12,Sale,"$1,001 - $15,000",23.2307786408955
Marjorie Taylor Greene,AAPL,2025-02-12,Purchase,"$1,001 - $15,000",-7.85240849411069
Julie Johnson,REGN,2025-02-12,Sale,"$1,001 - $15,000",-0.810411833820383
Julie Johnson,AES,2025-02-12,Sale,"$1,001 - $15,000",29.3359762140734
Marjorie Taylor Greene,UPS,2025-02-12,Purchase,"$1,001 - $15,000",0.735165412217739
Tim Moore,HOG,2025-02-12,Sale,"$50,001 - $100,000",-5.36193029490616
Julie Johnson,PLTR,2025-02-12,Purchase,"$1,001 - $15,000",-22.5146946077179
Marjorie Taylor Greene,META,2025-02-12,Purchase,"$1,001 - $15,000",-17.8017039344895
Thomas H. Kean Jr,MAGN,2025-02-12,Sale,"$1,001 - $15,000",-18.456817185445
Julie Johnson,BWA,2025-02-12,Purchase,"$1,001 - $15,000",-0.657667012807204
Josh Gottheimer,BABA,2025-02-12,Purchase,"$1,001 - $15,000",14.206033972788
Julie Johnson,CEG,2025-02-12,Purchase,"$1,001 - $15,000",-29.1013384321224
Marjorie Taylor Greene,DVN,2025-02-12,Purchase,"$1,001 - $15,000",6.41742714159552
Julie Johnson,WFC,2025-02-12,Purchase,"$1,001 - $15,000",-8.49211356466878
Rob Bresnahan,SNOW,2025-02-12,Purchase,"$1,001 - $15,000",-15.4035143940608
Julie Johnson,F,2025-02-12,Purchase,"$1,001 - $15,000",8.34236186348862
Julie Johnson,ENPH,2025-02-12,Sale,"$1,001 - $15,000",0.687172774869113
Julie Johnson,ALB,2025-02-12,Sale,"$1,001 - $15,000",1.25326370757181
Julie Johnson,ETN,2025-02-12,Purchase,"$1,001 - $15,000",-4.65986833613011
Julie Johnson,ANET,2025-02-12,Purchase,"$1,001 - $15,000",-24.1791317037578
Marjorie Taylor Greene,INTC,2025-02-12,Purchase,"$1,001 - $15,000",7.91814946619218
Julie Johnson,PYPL,2025-02-12,Purchase,"$1,001 - $15,000",-7.97167955945981
Rob Bresnahan,HOOD,2025-02-12,Sale,"$1,001 - $15,000",-20.6582006796637
Julie Johnson,ON,2025-02-12,Purchase,"$1,001 - $15,000",-12.5449460647223
